City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,gornopravdinsk,RU,60.05,69.9,25.09,25.09,97,100,5.21,light snow
176,esso,RU,55.9333,158.7,4.75,4.75,86,0,4.56,clear sky
177,paracatu,BR,-17.2222,-46.8747,69.94,69.94,88,6,4.14,clear sky
178,souillac,MU,-20.5167,57.5167,78.8,78.8,89,75,10.36,light rain
179,grindavik,IS,63.8424,-22.4338,41.0,41.0,87,90,24.16,overcast clouds
180,kindu,CD,-2.95,25.95,70.84,70.84,97,100,1.74,light rain
181,wum,CM,6.3833,10.0667,69.26,69.26,81,100,2.04,overcast clouds
182,bethel,US,41.3712,-73.414,59.0,54.0,20,1,6.91,clear sky
183,klaksvik,FO,62.2266,-6.589,42.8,42.8,75,90,11.5,overcast clouds
184,majene,ID,-3.5403,118.9707,78.26,78.26,79,89,4.54,overcast clouds
185,fort nelson,CA,58.8053,-122.7002,15.8,15.8,53,75,8.05,broken clouds
186,bireun,ID,5.203,96.7009,77.56,77.56,81,78,2.51,broken clouds
187,saskylakh,RU,71.9167,114.0833,-35.23,-35.23,99,100,10.07,overcast clouds
188,tobermory,CA,45.2501,-81.6665,41.0,41.0,60,0,9.22,clear sky
189,port-gentil,GA,-0.7193,8.7815,80.6,80.6,94,90,3.44,moderate rain
190,ludvika,SE,60.1496,15.1878,43.0,42.01,56,40,17.27,scattered clouds
191,mana,GF,5.6592,-53.7767,76.98,76.98,85,28,8.77,scattered clouds
192,ilulissat,GL,69.2167,-51.1,19.4,19.4,58,20,3.44,few clouds
193,severobaykalsk,RU,55.65,109.3167,14.2,14.2,91,77,2.73,broken clouds
194,vanimo,PG,-2.6741,141.3028,78.53,78.53,87,99,5.91,light rain
195,takoradi,GH,4.8845,-1.7554,80.55,80.55,81,48,6.6,scattered clouds
196,padang,ID,-0.9492,100.3543,75.2,75.2,94,40,3.44,scattered clouds
197,hamilton,US,39.1834,-84.5333,61.0,57.99,21,1,4.61,clear sky
198,rio grande,BR,-32.035,-52.0986,77.0,77.0,81,0,3.0,light rain
199,salekhard,RU,66.53,66.6019,-14.82,-14.82,89,100,12.21,overcast clouds
200,beringovskiy,RU,63.05,179.3167,-1.95,-1.95,93,100,13.73,overcast clouds
201,kutum,SD,14.2,24.6667,72.63,72.63,17,3,11.56,clear sky
202,chaman,PK,30.9236,66.4512,61.77,61.77,53,100,2.21,light rain
203,batsfjord,NO,70.6345,29.7185,28.08,28.08,85,79,12.26,broken clouds
204,jiwani,PK,25.05,61.7417,78.51,78.51,64,21,9.82,few clouds
205,bata,GQ,1.8639,9.7658,73.4,73.4,100,40,5.99,light rain
206,preeceville,CA,51.95,-102.6677,35.19,35.19,99,100,4.68,overcast clouds
207,tiznit,MA,29.5833,-9.5,51.96,51.96,83,62,14.85,broken clouds
208,mount gambier,AU,-37.8333,140.7667,57.2,57.2,94,66,4.5,broken clouds
209,meulaboh,ID,4.1363,96.1285,76.46,76.46,89,68,5.1,broken clouds
210,funtua,NG,11.5233,7.3081,83.52,83.52,23,98,4.38,overcast clouds
211,chuy,UY,-33.6971,-53.4616,73.27,73.27,86,73,7.92,light rain
212,sambava,MG,-14.2667,50.1667,76.5,76.5,88,99,9.95,overcast clouds
213,merauke,ID,-8.4667,140.3333,77.86,77.86,86,98,7.16,overcast clouds
214,cumberland,US,35.0502,-78.8664,53.01,48.99,54,90,11.5,overcast clouds
215,palmer,US,42.1584,-72.3287,57.2,51.01,19,20,13.8,few clouds
216,rawson,AR,-43.3002,-65.1023,60.69,60.69,62,0,15.41,clear sky
217,itoman,JP,26.1247,127.6694,69.8,68.0,83,75,13.8,broken clouds
218,atikokan,CA,48.7555,-91.6216,50.58,50.58,55,0,11.32,clear sky
219,shimoda,JP,34.6667,138.95,61.0,57.99,94,100,21.0,moderate rain
220,tasiilaq,GL,65.6145,-37.6368,23.0,23.0,93,90,41.43,heavy snow
221,ancud,CL,-41.8697,-73.8203,66.0,54.0,55,0,4.61,clear sky
222,la tuque,CA,47.4334,-72.7824,53.6,53.6,26,90,6.91,overcast clouds
223,port hardy,CA,50.6996,-127.4199,41.0,41.0,65,75,5.75,broken clouds
224,veraval,IN,20.9,70.3667,75.04,75.04,63,0,9.82,clear sky
225,buchanan,LR,5.8808,-10.0467,77.0,77.0,83,75,6.26,broken clouds
226,bac giang,VN,21.2667,106.2,75.2,75.2,94,90,4.61,mist
227,poum,NC,-20.2333,164.0167,78.8,78.8,75,86,12.88,overcast clouds
228,januaria,BR,-15.4833,-44.3667,73.8,73.8,77,36,5.5,scattered clouds
